Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Season5,Delhi Capitals,Chennai Super Kings,111,110,    13.2,"      
                    20",2,8,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Season5,Kolkata Knight Riders,Royal Challengers Bangalore,165,123,    20,"              
                    20",8,9,"[' Wankhede Stadium', ' Mumbai\n            ']"
Season5,Mumbai Indians,Deccan Chargers,142,138,    20,"  
                    20",5,9,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Season5,Pune Warriors India,Punjab Kings,166,144,    20,                    20,6,8,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Season5,Rajasthan Royals,Kolkata Knight Riders,164,142,    20,           20,5,2,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Season5,Chennai Super Kings,Deccan Chargers,193,119,    20,     17.1,6,2,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Season5,Royal Challengers Bangalore,Delhi Capitals,157,137,    20," 
                    20",8,7,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Season5,Rajasthan Royals,Punjab Kings,191,160,    20,                    20,4,9,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Season5,Pune Warriors India,Mumbai Indians,129,101,    20," 
                    20",9,9,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Season5,Delhi Capitals,Kolkata Knight Riders,100,97,"    11.1/12
                
","       
                    12/12
                

",2,9,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Season5,Mumbai Indians,Chennai Super Kings,115,112,    16.5,         19.5,2,2,"[' Wankhede Stadium', ' Mumbai\n            ']"
